,norse_poems,norse_poems_no_italics,name,abbreviation,volume,author
33,"Fariða ér, áðr fleyja 
flatvǫllr heðan batnar, 
— verpr Geitis vegr grjóti — 
Górøðr, of sæ stóran. 
Vindbýsna skalt, vísi 
víðfrægr, heðan bíða; 
vesið með oss, unz verði 
veðr; nús brim fyr Jaðri. ","Fariða ér, áðr fleyja 
flatvǫllr heðan batnar, 
— verpr Geitis vegr grjóti — 
Górøðr, of sæ stóran. 
Vindbýsna skalt, vísi 
víðfrægr, heðan bíða; 
vesið með oss, unz verði 
veðr; nús brim fyr Jaðri. ",Lausavísur,Þjóð Lv 2<sup>I</sup>,1,Þjóðólfr ór Hvini 
34,"Hneggi berk æ ugg
ótta; hlýði mér drótt; 
dána vekk dul at mey
drauga á kerlaug.
Drôpu lætk ór Dvali<i>ns</i> greip
dynja, meðan framm hrynr
— rekkum býðk Regins drykk
réttan — á bragar stétt.","Hneggi berk æ ugg
ótta; hlýði mér drótt; 
dána vekk dul at mey
drauga á kerlaug.
Drôpu lætk ór Dvalins greip
dynja, meðan framm hrynr
— rekkum býðk Regins drykk
réttan — á bragar stétt.",Snæfríðardrápa,Hhárf Snædr 1<sup>I</sup>,1,Haraldr hárfagri Hálfdanarson 
35,"Mjǫk eru mínir rekkar 
til mjǫðgjarnir, fornir 
ok hér komnir hárir; 
hví eruð ævar margir? ","Mjǫk eru mínir rekkar 
til mjǫðgjarnir, fornir 
ok hér komnir hárir; 
hví eruð ævar margir? ",Lausavísa,Hhárf Lv 1<sup>I</sup>,1,Haraldr hárfagri Hálfdanarson 
36,"Hilmir réð á heiði 
hjaldrskíðs þrimu galdra 
óðr við œskimeiða 
ey vébrautar heyja, 
áðr gnaps<i>ó</i>lar Gripnis 
gnýstœrandi fœri 
rausnarsamr til rimmu 
ríðviggs lagar skíðum. ","Hilmir réð á heiði 
hjaldrskíðs þrimu galdra 
óðr við œskimeiða 
ey vébrautar heyja, 
áðr gnapsólar Gripnis 
gnýstœrandi fœri 
rausnarsamr til rimmu 
ríðviggs lagar skíðum. ",Glymdrápa,Þhorn Gldr 1<sup>I</sup>,1,Þorbjǫrn hornklofi 
37,"Gerðisk glamma ferðar 
gný-Þróttr jǫru dróttar 
helkannandi hlenna 
hlymrœks of trǫð glymja, 
áðr út á mar mœtir 
mannskœðr lagar tanna 
ræsinaðr ok rausnar 
rak vébrautar nǫkkva. ","Gerðisk glamma ferðar 
gný-Þróttr jǫru dróttar 
helkannandi hlenna 
hlymrœks of trǫð glymja, 
áðr út á mar mœtir 
mannskœðr lagar tanna 
ræsinaðr ok rausnar 
rak vébrautar nǫkkva. ",Glymdrápa,Þhorn Gldr 2<sup>I</sup>,1,Þorbjǫrn hornklofi 
38,"Hrjóðr lét hæstrar tíðar 
harðráðr skipa bǫrðum 
bôru fáks ins bleika 
barnungr á lǫg þrungit, 
þar svát barsk at borði 
(borðhǫlkvi rak norðan) 
hlífar valdr til hildar 
(hregg) dǫglinga tveggja. ","Hrjóðr lét hæstrar tíðar 
harðráðr skipa bǫrðum 
bôru fáks ins bleika 
barnungr á lǫg þrungit, 
þar svát barsk at borði 
(borðhǫlkvi rak norðan) 
hlífar valdr til hildar 
(hregg) dǫglinga tveggja. ",Glymdrápa,Þhorn Gldr 3<sup>I</sup>,1,Þorbjǫrn hornklofi 
39,"Ok allsnœfrir jǫfrar 
orðalaust at morði 
— endisk rauðra randa 
rǫdd — dynskotum kvǫddusk. ","Ok allsnœfrir jǫfrar 
orðalaust at morði 
— endisk rauðra randa 
rǫdd — dynskotum kvǫddusk. ",Glymdrápa,Þhorn Gldr 4<sup>I</sup>,1,Þorbjǫrn hornklofi 
40,"Háði gramr, þars gnúðu, 
geira hregg við seggi, 
— rauð fnýsti ben blóði — 
bryngǫgl í dyn Skǫglar, 
þás á rausn fyr ræsi 
(réð egglituðr) seggir 
— æfr gall hjǫrr við hlífar — 
hnigu fjǫrvanir (sigri). ","Háði gramr, þars gnúðu, 
geira hregg við seggi, 
— rauð fnýsti ben blóði — 
bryngǫgl í dyn Skǫglar, 
þás á rausn fyr ræsi 
(réð egglituðr) seggir 
— æfr gall hjǫrr við hlífar — 
hnigu fjǫrvanir (sigri). ",Glymdrápa,Þhorn Gldr 5<sup>I</sup>,1,Þorbjǫrn hornklofi 
41,"Grennir þrǫng at gunni 
gunnmôs fyr haf sunnan 
(sá vas gramr) ok gumnum 
(goðvarðr) und sik jǫrðu. 
Ok hjalmtamiðr hilmir 
holmreyðar lét olman 
lindihjǫrt fyr landi 
lundprúðr við stik bundinn. ","Grennir þrǫng at gunni 
gunnmôs fyr haf sunnan 
(sá vas gramr) ok gumnum 
(goðvarðr) und sik jǫrðu. 
Ok hjalmtamiðr hilmir 
holmreyðar lét olman 
lindihjǫrt fyr landi 
lundprúðr við stik bundinn. ",Glymdrápa,Þhorn Gldr 6<sup>I</sup>,1,Þorbjǫrn hornklofi 
42,"Ríks þreifsk reiddra øxa 
rymr — knôttu spjǫr glymja — 
— svartskyggð bitu seggi 
sverð — þjóðkonungs ferðar, 
þás hugfyldra hǫlða 
(hlaut andskoti Gauta) 
hôr vas sǫngr of svírum 
(sigr) flugbeiddra vigra. ","Ríks þreifsk reiddra øxa 
rymr — knôttu spjǫr glymja — 
— svartskyggð bitu seggi 
sverð — þjóðkonungs ferðar, 
þás hugfyldra hǫlða 
(hlaut andskoti Gauta) 
hôr vas sǫngr of svírum 
(sigr) flugbeiddra vigra. ",Glymdrápa,Þhorn Gldr 7<sup>I</sup>,1,Þorbjǫrn hornklofi 
